,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA,innovation2
1482,564539,-0.8998730010704739,0,1,0,0.0,0,0,1.0,1.0,0,0,0,2.0
1483,564540,-0.8998730010704739,1,0,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1484,564541,-0.8998730010704739,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1485,564544,-1.250567885132465,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1486,564545,-0.8998730010704739,1,0,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1487,564547,-0.970011977882872,1,0,0,1.0,0,0,1.0,1.0,0,0,0,4.0
1488,564550,-1.0401509546952703,1,0,0,1.0,0,0,1.0,1.0,0,0,0,3.0
1489,564557,-0.970011977882872,1,0,0,0.0,0,0,1.0,1.0,0,0,0,2.0
1490,564558,-0.970011977882872,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1491,564562,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1492,564564,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1493,564565,-0.970011977882872,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1494,564573,-1.0401509546952703,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1495,564574,-1.1102899315076686,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1496,564578,-1.1804289083200667,1,0,0,0.0,0,0,1.0,1.0,0,0,0,2.0
1497,564582,-0.970011977882872,0,1,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1498,564599,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1499,564600,-0.8998730010704739,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1500,564604,-1.250567885132465,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1501,564605,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1502,564617,-1.1804289083200667,1,0,0,0.0,0,0,1.0,1.0,0,0,0,3.0
1503,564629,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1504,564631,-0.970011977882872,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1505,564634,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1506,564638,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1507,564642,-0.8998730010704739,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1508,564644,-1.1804289083200667,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1509,564646,-0.8998730010704739,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1510,564647,2.256380955487447,1,0,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1511,564648,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1512,564652,-1.1102899315076686,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1513,564656,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
