,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
750,531669,0.011933697490703289,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
751,531671,0.2924896047402963,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
752,531672,-0.058205279321694954,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
753,531673,-0.058205279321694954,0,1,0,0.0,1.0,0,1,1.0,1.0,1,0,0
754,531674,0.8536014192394822,0,1,0,0.0,0.0,0,1,0.0,0.0,1,0,0
755,531675,2.7473537931742347,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
756,531676,-0.7595950474456774,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
757,531677,0.6431844888022875,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
758,531678,-0.5491781170084826,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
759,531679,0.15221165111549978,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
760,531680,-0.6193170938208808,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
761,531681,-1.0401509546952703,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
763,531683,1.2744352801138716,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
764,531686,-0.5491781170084826,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
765,531687,0.15221165111549978,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
766,531688,-0.4790391401960844,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
767,531689,-0.5491781170084826,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
768,531691,-0.4089001633836862,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
769,531692,1.414713233738668,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
770,531693,0.8536014192394822,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
771,531695,-0.19848323294649145,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
772,531696,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
773,531697,-0.8998730010704739,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
774,531698,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
775,531699,0.011933697490703289,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
776,531700,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
777,531701,0.011933697490703289,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
778,531702,-0.8998730010704739,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
779,531703,0.15221165111549978,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
780,531704,0.502906535177491,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
781,531705,0.15221165111549978,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
782,531706,-0.9700119778828721,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
783,531707,-0.4089001633836862,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
784,531708,-0.9700119778828721,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
785,531709,-0.4089001633836862,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
786,531710,-0.19848323294649145,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
787,531711,0.15221165111549978,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
788,531712,-0.4790391401960844,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
789,531713,-0.8297340242580756,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
790,531714,-1.0401509546952703,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
791,531715,-1.1102899315076686,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
792,531716,0.502906535177491,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
793,531717,-0.3387611865712879,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
